"Num","Title","Year","Runtime","Director","Writer","Metascore","imdbRating","imdbVotes","BoxOffice","Production","First Actor","Second Actor","Third Actor","Fourth Actor","Awards","Nominations","Genre","Language","Country"
1,"The Shawshank Redemption",1994,142,"Frank Darabont","Stephen King ",80,9.3,NA,NA,"Columbia Pictures","Tim Robbins","Morgan Freeman","Bob Gunton","William Sadler",19,37,"Crime","English","USA"
1,"The Shawshank Redemption",1994,142,"Frank Darabont","Stephen King ",80,9.3,NA,NA,"Columbia Pictures","Tim Robbins","Morgan Freeman","Bob Gunton","William Sadler",19,37,"Drama","English","USA"
2,"The Godfather",1972,175,"Francis Ford Coppola","Mario Puzo ",100,9.2,NA,NA,"Paramount Pictures","Marlon Brando","Al Pacino","James Caan","Richard S. Castellano",26,27,"Crime","English","USA"
2,"The Godfather",1972,175,"Francis Ford Coppola","Mario Puzo ",100,9.2,NA,NA,"Paramount Pictures","Marlon Brando","Al Pacino","James Caan","Richard S. Castellano",26,27,"Crime","Italian","USA"
2,"The Godfather",1972,175,"Francis Ford Coppola","Mario Puzo ",100,9.2,NA,NA,"Paramount Pictures","Marlon Brando","Al Pacino","James Caan","Richard S. Castellano",26,27,"Crime","Latin","USA"
2,"The Godfather",1972,175,"Francis Ford Coppola","Mario Puzo ",100,9.2,NA,NA,"Paramount Pictures","Marlon Brando","Al Pacino","James Caan","Richard S. Castellano",26,27,"Drama","English","USA"
2,"The Godfather",1972,175,"Francis Ford Coppola","Mario Puzo ",100,9.2,NA,NA,"Paramount Pictures","Marlon Brando","Al Pacino","James Caan","Richard S. Castellano",26,27,"Drama","Italian","USA"
2,"The Godfather",1972,175,"Francis Ford Coppola","Mario Puzo ",100,9.2,NA,NA,"Paramount Pictures","Marlon Brando","Al Pacino","James Caan","Richard S. Castellano",26,27,"Drama","Latin","USA"
3,"The Godfather: Part II",1974,202,"Francis Ford Coppola","Francis Ford Coppola ",85,9,NA,NA,"Paramount Pictures","Al Pacino","Robert Duvall","Diane Keaton","Robert De Niro",16,20,"Crime","English","USA"
3,"The Godfather: Part II",1974,202,"Francis Ford Coppola","Francis Ford Coppola ",85,9,NA,NA,"Paramount Pictures","Al Pacino","Robert Duvall","Diane Keaton","Robert De Niro",16,20,"Crime","Italian","USA"
3,"The Godfather: Part II",1974,202,"Francis Ford Coppola","Francis Ford Coppola ",85,9,NA,NA,"Paramount Pictures","Al Pacino","Robert Duvall","Diane Keaton","Robert De Niro",16,20,"Crime","Spanish","USA"
3,"The Godfather: Part II",1974,202,"Francis Ford Coppola","Francis Ford Coppola ",85,9,NA,NA,"Paramount Pictures","Al Pacino","Robert Duvall","Diane Keaton","Robert De Niro",16,20,"Drama","English","USA"
3,"The Godfather: Part II",1974,202,"Francis Ford Coppola","Francis Ford Coppola ",85,9,NA,NA,"Paramount Pictures","Al Pacino","Robert Duvall","Diane Keaton","Robert De Niro",16,20,"Drama","Italian","USA"
3,"The Godfather: Part II",1974,202,"Francis Ford Coppola","Francis Ford Coppola ",85,9,NA,NA,"Paramount Pictures","Al Pacino","Robert Duvall","Diane Keaton","Robert De Niro",16,20,"Drama","Spanish","USA"
4,"The Dark Knight",2008,152,"Christopher Nolan","Jonathan Nolan ",82,9,NA,533316061,"Warner Bros. Pictures/Legendary","Christian Bale","Heath Ledger","Aaron Eckhart","Michael Caine",153,153,"Action","English","USA"
4,"The Dark Knight",2008,152,"Christopher Nolan","Jonathan Nolan ",82,9,NA,533316061,"Warner Bros. Pictures/Legendary","Christian Bale","Heath Ledger","Aaron Eckhart","Michael Caine",153,153,"Action","English","UK"
4,"The Dark Knight",2008,152,"Christopher Nolan","Jonathan Nolan ",82,9,NA,533316061,"Warner Bros. Pictures/Legendary","Christian Bale","Heath Ledger","Aaron Eckhart","Michael Caine",153,153,"Action","Mandarin","USA"
4,"The Dark Knight",2008,152,"Christopher Nolan","Jonathan Nolan ",82,9,NA,533316061,"Warner Bros. Pictures/Legendary","Christian Bale","Heath Ledger","Aaron Eckhart","Michael Caine",153,153,"Action","Mandarin","UK"
4,"The Dark Knight",2008,152,"Christopher Nolan","Jonathan Nolan ",82,9,NA,533316061,"Warner Bros. Pictures/Legendary","Christian Bale","Heath Ledger","Aaron Eckhart","Michael Caine",153,153,"Crime","English","USA"
4,"The Dark Knight",2008,152,"Christopher Nolan","Jonathan Nolan ",82,9,NA,533316061,"Warner Bros. Pictures/Legendary","Christian Bale","Heath Ledger","Aaron Eckhart","Michael Caine",153,153,"Crime","English","UK"
4,"The Dark Knight",2008,152,"Christopher Nolan","Jonathan Nolan ",82,9,NA,533316061,"Warner Bros. Pictures/Legendary","Christian Bale","Heath Ledger","Aaron Eckhart","Michael Caine",153,153,"Crime","Mandarin","USA"
4,"The Dark Knight",2008,152,"Christopher Nolan","Jonathan Nolan ",82,9,NA,533316061,"Warner Bros. Pictures/Legendary","Christian Bale","Heath Ledger","Aaron Eckhart","Michael Caine",153,153,"Crime","Mandarin","UK"
4,"The Dark Knight",2008,152,"Christopher Nolan","Jonathan Nolan ",82,9,NA,533316061,"Warner Bros. Pictures/Legendary","Christian Bale","Heath Ledger","Aaron Eckhart","Michael Caine",153,153,"Drama","English","USA"
4,"The Dark Knight",2008,152,"Christopher Nolan","Jonathan Nolan ",82,9,NA,533316061,"Warner Bros. Pictures/Legendary","Christian Bale","Heath Ledger","Aaron Eckhart","Michael Caine",153,153,"Drama","English","UK"
4,"The Dark Knight",2008,152,"Christopher Nolan","Jonathan Nolan ",82,9,NA,533316061,"Warner Bros. Pictures/Legendary","Christian Bale","Heath Ledger","Aaron Eckhart","Michael Caine",153,153,"Drama","Mandarin","USA"
4,"The Dark Knight",2008,152,"Christopher Nolan","Jonathan Nolan ",82,9,NA,533316061,"Warner Bros. Pictures/Legendary","Christian Bale","Heath Ledger","Aaron Eckhart","Michael Caine",153,153,"Drama","Mandarin","UK"
5,"12 Angry Men",1957,96,"Sidney Lumet","Reginald Rose ",96,8.9,NA,NA,"Criterion Collection","Martin Balsam","John Fiedler","Lee J. Cobb","E.G. Marshall",16,11,"Crime","English","USA"
5,"12 Angry Men",1957,96,"Sidney Lumet","Reginald Rose ",96,8.9,NA,NA,"Criterion Collection","Martin Balsam","John Fiedler","Lee J. Cobb","E.G. Marshall",16,11,"Drama","English","USA"
6,"Schindler's List",1993,195,"Steven Spielberg","Thomas Keneally ",93,8.9,NA,NA,"Universal Pictures","Liam Neeson","Ben Kingsley","Ralph Fiennes","Caroline Goodall",78,33,"Biography","English","USA"
6,"Schindler's List",1993,195,"Steven Spielberg","Thomas Keneally ",93,8.9,NA,NA,"Universal Pictures","Liam Neeson","Ben Kingsley","Ralph Fiennes","Caroline Goodall",78,33,"Biography","Hebrew","USA"
6,"Schindler's List",1993,195,"Steven Spielberg","Thomas Keneally ",93,8.9,NA,NA,"Universal Pictures","Liam Neeson","Ben Kingsley","Ralph Fiennes","Caroline Goodall",78,33,"Biography","German","USA"
6,"Schindler's List",1993,195,"Steven Spielberg","Thomas Keneally ",93,8.9,NA,NA,"Universal Pictures","Liam Neeson","Ben Kingsley","Ralph Fiennes","Caroline Goodall",78,33,"Drama","English","USA"
6,"Schindler's List",1993,195,"Steven Spielberg","Thomas Keneally ",93,8.9,NA,NA,"Universal Pictures","Liam Neeson","Ben Kingsley","Ralph Fiennes","Caroline Goodall",78,33,"Drama","Hebrew","USA"
6,"Schindler's List",1993,195,"Steven Spielberg","Thomas Keneally ",93,8.9,NA,NA,"Universal Pictures","Liam Neeson","Ben Kingsley","Ralph Fiennes","Caroline Goodall",78,33,"Drama","German","USA"
6,"Schindler's List",1993,195,"Steven Spielberg","Thomas Keneally ",93,8.9,NA,NA,"Universal Pictures","Liam Neeson","Ben Kingsley","Ralph Fiennes","Caroline Goodall",78,33,"History","English","USA"
6,"Schindler's List",1993,195,"Steven Spielberg","Thomas Keneally ",93,8.9,NA,NA,"Universal Pictures","Liam Neeson","Ben Kingsley","Ralph Fiennes","Caroline Goodall",78,33,"History","Hebrew","USA"
6,"Schindler's List",1993,195,"Steven Spielberg","Thomas Keneally ",93,8.9,NA,NA,"Universal Pictures","Liam Neeson","Ben Kingsley","Ralph Fiennes","Caroline Goodall",78,33,"History","German","USA"
7,"The Lord of the Rings: The Return of the King",2003,201,"Peter Jackson","J.R.R. Tolkien ",94,8.9,NA,364000000,"New Line Cinema","Noel Appleby","Ali Astin","Sean Astin","David Aston",208,122,"Adventure","English","USA"
7,"The Lord of the Rings: The Return of the King",2003,201,"Peter Jackson","J.R.R. Tolkien ",94,8.9,NA,364000000,"New Line Cinema","Noel Appleby","Ali Astin","Sean Astin","David Aston",208,122,"Adventure","English","New Zealand"
7,"The Lord of the Rings: The Return of the King",2003,201,"Peter Jackson","J.R.R. Tolkien ",94,8.9,NA,364000000,"New Line Cinema","Noel Appleby","Ali Astin","Sean Astin","David Aston",208,122,"Adventure","Quenya","USA"
7,"The Lord of the Rings: The Return of the King",2003,201,"Peter Jackson","J.R.R. Tolkien ",94,8.9,NA,364000000,"New Line Cinema","Noel Appleby","Ali Astin","Sean Astin","David Aston",208,122,"Adventure","Quenya","New Zealand"
7,"The Lord of the Rings: The Return of the King",2003,201,"Peter Jackson","J.R.R. Tolkien ",94,8.9,NA,364000000,"New Line Cinema","Noel Appleby","Ali Astin","Sean Astin","David Aston",208,122,"Adventure","Old English","USA"
7,"The Lord of the Rings: The Return of the King",2003,201,"Peter Jackson","J.R.R. Tolkien ",94,8.9,NA,364000000,"New Line Cinema","Noel Appleby","Ali Astin","Sean Astin","David Aston",208,122,"Adventure","Old English","New Zealand"
7,"The Lord of the Rings: The Return of the King",2003,201,"Peter Jackson","J.R.R. Tolkien ",94,8.9,NA,364000000,"New Line Cinema","Noel Appleby","Ali Astin","Sean Astin","David Aston",208,122,"Drama","English","USA"
7,"The Lord of the Rings: The Return of the King",2003,201,"Peter Jackson","J.R.R. Tolkien ",94,8.9,NA,364000000,"New Line Cinema","Noel Appleby","Ali Astin","Sean Astin","David Aston",208,122,"Drama","English","New Zealand"
7,"The Lord of the Rings: The Return of the King",2003,201,"Peter Jackson","J.R.R. Tolkien ",94,8.9,NA,364000000,"New Line Cinema","Noel Appleby","Ali Astin","Sean Astin","David Aston",208,122,"Drama","Quenya","USA"
7,"The Lord of the Rings: The Return of the King",2003,201,"Peter Jackson","J.R.R. Tolkien ",94,8.9,NA,364000000,"New Line Cinema","Noel Appleby","Ali Astin","Sean Astin","David Aston",208,122,"Drama","Quenya","New Zealand"
7,"The Lord of the Rings: The Return of the King",2003,201,"Peter Jackson","J.R.R. Tolkien ",94,8.9,NA,364000000,"New Line Cinema","Noel Appleby","Ali Astin","Sean Astin","David Aston",208,122,"Drama","Old English","USA"
7,"The Lord of the Rings: The Return of the King",2003,201,"Peter Jackson","J.R.R. Tolkien ",94,8.9,NA,364000000,"New Line Cinema","Noel Appleby","Ali Astin","Sean Astin","David Aston",208,122,"Drama","Old English","New Zealand"
7,"The Lord of the Rings: The Return of the King",2003,201,"Peter Jackson","J.R.R. Tolkien ",94,8.9,NA,364000000,"New Line Cinema","Noel Appleby","Ali Astin","Sean Astin","David Aston",208,122,"Fantasy","English","USA"
7,"The Lord of the Rings: The Return of the King",2003,201,"Peter Jackson","J.R.R. Tolkien ",94,8.9,NA,364000000,"New Line Cinema","Noel Appleby","Ali Astin","Sean Astin","David Aston",208,122,"Fantasy","English","New Zealand"
7,"The Lord of the Rings: The Return of the King",2003,201,"Peter Jackson","J.R.R. Tolkien ",94,8.9,NA,364000000,"New Line Cinema","Noel Appleby","Ali Astin","Sean Astin","David Aston",208,122,"Fantasy","Quenya","USA"
7,"The Lord of the Rings: The Return of the King",2003,201,"Peter Jackson","J.R.R. Tolkien ",94,8.9,NA,364000000,"New Line Cinema","Noel Appleby","Ali Astin","Sean Astin","David Aston",208,122,"Fantasy","Quenya","New Zealand"
7,"The Lord of the Rings: The Return of the King",2003,201,"Peter Jackson","J.R.R. Tolkien ",94,8.9,NA,364000000,"New Line Cinema","Noel Appleby","Ali Astin","Sean Astin","David Aston",208,122,"Fantasy","Old English","USA"
7,"The Lord of the Rings: The Return of the King",2003,201,"Peter Jackson","J.R.R. Tolkien ",94,8.9,NA,364000000,"New Line Cinema","Noel Appleby","Ali Astin","Sean Astin","David Aston",208,122,"Fantasy","Old English","New Zealand"
8,"Pulp Fiction",1994,154,"Quentin Tarantino","Quentin Tarantino ",94,8.9,NA,NA,"Miramax Films","Tim Roth","Amanda Plummer","Laura Lovelace","John Travolta",61,68,"Crime","English","USA"
8,"Pulp Fiction",1994,154,"Quentin Tarantino","Quentin Tarantino ",94,8.9,NA,NA,"Miramax Films","Tim Roth","Amanda Plummer","Laura Lovelace","John Travolta",61,68,"Crime","Spanish","USA"
8,"Pulp Fiction",1994,154,"Quentin Tarantino","Quentin Tarantino ",94,8.9,NA,NA,"Miramax Films","Tim Roth","Amanda Plummer","Laura Lovelace","John Travolta",61,68,"Crime","French","USA"
8,"Pulp Fiction",1994,154,"Quentin Tarantino","Quentin Tarantino ",94,8.9,NA,NA,"Miramax Films","Tim Roth","Amanda Plummer","Laura Lovelace","John Travolta",61,68,"Drama","English","USA"
8,"Pulp Fiction",1994,154,"Quentin Tarantino","Quentin Tarantino ",94,8.9,NA,NA,"Miramax Films","Tim Roth","Amanda Plummer","Laura Lovelace","John Travolta",61,68,"Drama","Spanish","USA"
8,"Pulp Fiction",1994,154,"Quentin Tarantino","Quentin Tarantino ",94,8.9,NA,NA,"Miramax Films","Tim Roth","Amanda Plummer","Laura Lovelace","John Travolta",61,68,"Drama","French","USA"
9,"Fight Club",1999,139,"David Fincher","Chuck Palahniuk ",66,8.8,NA,NA,"20th Century Fox","Edward Norton","Brad Pitt","Meat Loaf","Zach Grenier",10,32,"Drama","English","USA"
9,"Fight Club",1999,139,"David Fincher","Chuck Palahniuk ",66,8.8,NA,NA,"20th Century Fox","Edward Norton","Brad Pitt","Meat Loaf","Zach Grenier",10,32,"Drama","English","Germany"
10,"The Lord of the Rings: The Fellowship of the Ring",2001,178,"Peter Jackson","J.R.R. Tolkien ",92,8.8,NA,314000000,"New Line Cinema","Alan Howard","Noel Appleby","Sean Astin","Sala Baker",117,124,"Adventure","English","New Zealand"
10,"The Lord of the Rings: The Fellowship of the Ring",2001,178,"Peter Jackson","J.R.R. Tolkien ",92,8.8,NA,314000000,"New Line Cinema","Alan Howard","Noel Appleby","Sean Astin","Sala Baker",117,124,"Adventure","English","USA"
10,"The Lord of the Rings: The Fellowship of the Ring",2001,178,"Peter Jackson","J.R.R. Tolkien ",92,8.8,NA,314000000,"New Line Cinema","Alan Howard","Noel Appleby","Sean Astin","Sala Baker",117,124,"Adventure","Sindarin","New Zealand"
10,"The Lord of the Rings: The Fellowship of the Ring",2001,178,"Peter Jackson","J.R.R. Tolkien ",92,8.8,NA,314000000,"New Line Cinema","Alan Howard","Noel Appleby","Sean Astin","Sala Baker",117,124,"Adventure","Sindarin","USA"
10,"The Lord of the Rings: The Fellowship of the Ring",2001,178,"Peter Jackson","J.R.R. Tolkien ",92,8.8,NA,314000000,"New Line Cinema","Alan Howard","Noel Appleby","Sean Astin","Sala Baker",117,124,"Drama","English","New Zealand"
10,"The Lord of the Rings: The Fellowship of the Ring",2001,178,"Peter Jackson","J.R.R. Tolkien ",92,8.8,NA,314000000,"New Line Cinema","Alan Howard","Noel Appleby","Sean Astin","Sala Baker",117,124,"Drama","English","USA"
10,"The Lord of the Rings: The Fellowship of the Ring",2001,178,"Peter Jackson","J.R.R. Tolkien ",92,8.8,NA,314000000,"New Line Cinema","Alan Howard","Noel Appleby","Sean Astin","Sala Baker",117,124,"Drama","Sindarin","New Zealand"
10,"The Lord of the Rings: The Fellowship of the Ring",2001,178,"Peter Jackson","J.R.R. Tolkien ",92,8.8,NA,314000000,"New Line Cinema","Alan Howard","Noel Appleby","Sean Astin","Sala Baker",117,124,"Drama","Sindarin","USA"
10,"The Lord of the Rings: The Fellowship of the Ring",2001,178,"Peter Jackson","J.R.R. Tolkien ",92,8.8,NA,314000000,"New Line Cinema","Alan Howard","Noel Appleby","Sean Astin","Sala Baker",117,124,"Fantasy","English","New Zealand"
10,"The Lord of the Rings: The Fellowship of the Ring",2001,178,"Peter Jackson","J.R.R. Tolkien ",92,8.8,NA,314000000,"New Line Cinema","Alan Howard","Noel Appleby","Sean Astin","Sala Baker",117,124,"Fantasy","English","USA"
10,"The Lord of the Rings: The Fellowship of the Ring",2001,178,"Peter Jackson","J.R.R. Tolkien ",92,8.8,NA,314000000,"New Line Cinema","Alan Howard","Noel Appleby","Sean Astin","Sala Baker",117,124,"Fantasy","Sindarin","New Zealand"
10,"The Lord of the Rings: The Fellowship of the Ring",2001,178,"Peter Jackson","J.R.R. Tolkien ",92,8.8,NA,314000000,"New Line Cinema","Alan Howard","Noel Appleby","Sean Astin","Sala Baker",117,124,"Fantasy","Sindarin","USA"
11,"Forrest Gump",1994,142,"Robert Zemeckis","Winston Groom ",82,8.8,NA,405000,"Paramount Pictures","Tom Hanks","Rebecca Williams","Sally Field","Michael Conner Humphreys",45,66,"Comedy","English","USA"
11,"Forrest Gump",1994,142,"Robert Zemeckis","Winston Groom ",82,8.8,NA,405000,"Paramount Pictures","Tom Hanks","Rebecca Williams","Sally Field","Michael Conner Humphreys",45,66,"Drama","English","USA"
11,"Forrest Gump",1994,142,"Robert Zemeckis","Winston Groom ",82,8.8,NA,405000,"Paramount Pictures","Tom Hanks","Rebecca Williams","Sally Field","Michael Conner Humphreys",45,66,"Romance","English","USA"
12,"Star Wars: Episode V - The Empire Strikes Back",1980,124,"Irvin Kershner","Leigh Brackett ",81,8.8,NA,4548170,"Twentieth Century Fox","Mark Hamill","Harrison Ford","Carrie Fisher","Billy Dee Williams",22,19,"Action","English","USA"
12,"Star Wars: Episode V - The Empire Strikes Back",1980,124,"Irvin Kershner","Leigh Brackett ",81,8.8,NA,4548170,"Twentieth Century Fox","Mark Hamill","Harrison Ford","Carrie Fisher","Billy Dee Williams",22,19,"Adventure","English","USA"
12,"Star Wars: Episode V - The Empire Strikes Back",1980,124,"Irvin Kershner","Leigh Brackett ",81,8.8,NA,4548170,"Twentieth Century Fox","Mark Hamill","Harrison Ford","Carrie Fisher","Billy Dee Williams",22,19,"Fantasy","English","USA"
13,"Inception",2010,148,"Christopher Nolan","Christopher Nolan",74,8.8,NA,292568851,"Warner Bros. Pictures","Leonardo DiCaprio","Joseph Gordon-Levitt","Ellen Page","Tom Hardy",154,203,"Action","English","USA"
13,"Inception",2010,148,"Christopher Nolan","Christopher Nolan",74,8.8,NA,292568851,"Warner Bros. Pictures","Leonardo DiCaprio","Joseph Gordon-Levitt","Ellen Page","Tom Hardy",154,203,"Action","English","UK"
13,"Inception",2010,148,"Christopher Nolan","Christopher Nolan",74,8.8,NA,292568851,"Warner Bros. Pictures","Leonardo DiCaprio","Joseph Gordon-Levitt","Ellen Page","Tom Hardy",154,203,"Action","Japanese","USA"
13,"Inception",2010,148,"Christopher Nolan","Christopher Nolan",74,8.8,NA,292568851,"Warner Bros. Pictures","Leonardo DiCaprio","Joseph Gordon-Levitt","Ellen Page","Tom Hardy",154,203,"Action","Japanese","UK"
13,"Inception",2010,148,"Christopher Nolan","Christopher Nolan",74,8.8,NA,292568851,"Warner Bros. Pictures","Leonardo DiCaprio","Joseph Gordon-Levitt","Ellen Page","Tom Hardy",154,203,"Action","French","USA"
13,"Inception",2010,148,"Christopher Nolan","Christopher Nolan",74,8.8,NA,292568851,"Warner Bros. Pictures","Leonardo DiCaprio","Joseph Gordon-Levitt","Ellen Page","Tom Hardy",154,203,"Action","French","UK"
13,"Inception",2010,148,"Christopher Nolan","Christopher Nolan",74,8.8,NA,292568851,"Warner Bros. Pictures","Leonardo DiCaprio","Joseph Gordon-Levitt","Ellen Page","Tom Hardy",154,203,"Adventure","English","USA"
13,"Inception",2010,148,"Christopher Nolan","Christopher Nolan",74,8.8,NA,292568851,"Warner Bros. Pictures","Leonardo DiCaprio","Joseph Gordon-Levitt","Ellen Page","Tom Hardy",154,203,"Adventure","English","UK"
13,"Inception",2010,148,"Christopher Nolan","Christopher Nolan",74,8.8,NA,292568851,"Warner Bros. Pictures","Leonardo DiCaprio","Joseph Gordon-Levitt","Ellen Page","Tom Hardy",154,203,"Adventure","Japanese","USA"
13,"Inception",2010,148,"Christopher Nolan","Christopher Nolan",74,8.8,NA,292568851,"Warner Bros. Pictures","Leonardo DiCaprio","Joseph Gordon-Levitt","Ellen Page","Tom Hardy",154,203,"Adventure","Japanese","UK"
13,"Inception",2010,148,"Christopher Nolan","Christopher Nolan",74,8.8,NA,292568851,"Warner Bros. Pictures","Leonardo DiCaprio","Joseph Gordon-Levitt","Ellen Page","Tom Hardy",154,203,"Adventure","French","USA"
13,"Inception",2010,148,"Christopher Nolan","Christopher Nolan",74,8.8,NA,292568851,"Warner Bros. Pictures","Leonardo DiCaprio","Joseph Gordon-Levitt","Ellen Page","Tom Hardy",154,203,"Adventure","French","UK"
13,"Inception",2010,148,"Christopher Nolan","Christopher Nolan",74,8.8,NA,292568851,"Warner Bros. Pictures","Leonardo DiCaprio","Joseph Gordon-Levitt","Ellen Page","Tom Hardy",154,203,"Sci","English","USA"
13,"Inception",2010,148,"Christopher Nolan","Christopher Nolan",74,8.8,NA,292568851,"Warner Bros. Pictures","Leonardo DiCaprio","Joseph Gordon-Levitt","Ellen Page","Tom Hardy",154,203,"Sci","English","UK"
13,"Inception",2010,148,"Christopher Nolan","Christopher Nolan",74,8.8,NA,292568851,"Warner Bros. Pictures","Leonardo DiCaprio","Joseph Gordon-Levitt","Ellen Page","Tom Hardy",154,203,"Sci","Japanese","USA"
13,"Inception",2010,148,"Christopher Nolan","Christopher Nolan",74,8.8,NA,292568851,"Warner Bros. Pictures","Leonardo DiCaprio","Joseph Gordon-Levitt","Ellen Page","Tom Hardy",154,203,"Sci","Japanese","UK"
13,"Inception",2010,148,"Christopher Nolan","Christopher Nolan",74,8.8,NA,292568851,"Warner Bros. Pictures","Leonardo DiCaprio","Joseph Gordon-Levitt","Ellen Page","Tom Hardy",154,203,"Sci","French","USA"
13,"Inception",2010,148,"Christopher Nolan","Christopher Nolan",74,8.8,NA,292568851,"Warner Bros. Pictures","Leonardo DiCaprio","Joseph Gordon-Levitt","Ellen Page","Tom Hardy",154,203,"Sci","French","UK"
14,"The Lord of the Rings: The Two Towers",2002,179,"Peter Jackson","J.R.R. Tolkien ",88,8.7,NA,339700000,"New Line Cinema","Bruce Allpress","Sean Astin","John Bach","Sala Baker",120,138,"Adventure","English","USA"
14,"The Lord of the Rings: The Two Towers",2002,179,"Peter Jackson","J.R.R. Tolkien ",88,8.7,NA,339700000,"New Line Cinema","Bruce Allpress","Sean Astin","John Bach","Sala Baker",120,138,"Adventure","English","New Zealand"
14,"The Lord of the Rings: The Two Towers",2002,179,"Peter Jackson","J.R.R. Tolkien ",88,8.7,NA,339700000,"New Line Cinema","Bruce Allpress","Sean Astin","John Bach","Sala Baker",120,138,"Adventure","Sindarin","USA"
14,"The Lord of the Rings: The Two Towers",2002,179,"Peter Jackson","J.R.R. Tolkien ",88,8.7,NA,339700000,"New Line Cinema","Bruce Allpress","Sean Astin","John Bach","Sala Baker",120,138,"Adventure","Sindarin","New Zealand"
14,"The Lord of the Rings: The Two Towers",2002,179,"Peter Jackson","J.R.R. Tolkien ",88,8.7,NA,339700000,"New Line Cinema","Bruce Allpress","Sean Astin","John Bach","Sala Baker",120,138,"Adventure","Old English","USA"
14,"The Lord of the Rings: The Two Towers",2002,179,"Peter Jackson","J.R.R. Tolkien ",88,8.7,NA,339700000,"New Line Cinema","Bruce Allpress","Sean Astin","John Bach","Sala Baker",120,138,"Adventure","Old English","New Zealand"
14,"The Lord of the Rings: The Two Towers",2002,179,"Peter Jackson","J.R.R. Tolkien ",88,8.7,NA,339700000,"New Line Cinema","Bruce Allpress","Sean Astin","John Bach","Sala Baker",120,138,"Drama","English","USA"
14,"The Lord of the Rings: The Two Towers",2002,179,"Peter Jackson","J.R.R. Tolkien ",88,8.7,NA,339700000,"New Line Cinema","Bruce Allpress","Sean Astin","John Bach","Sala Baker",120,138,"Drama","English","New Zealand"
14,"The Lord of the Rings: The Two Towers",2002,179,"Peter Jackson","J.R.R. Tolkien ",88,8.7,NA,339700000,"New Line Cinema","Bruce Allpress","Sean Astin","John Bach","Sala Baker",120,138,"Drama","Sindarin","USA"
14,"The Lord of the Rings: The Two Towers",2002,179,"Peter Jackson","J.R.R. Tolkien ",88,8.7,NA,339700000,"New Line Cinema","Bruce Allpress","Sean Astin","John Bach","Sala Baker",120,138,"Drama","Sindarin","New Zealand"
14,"The Lord of the Rings: The Two Towers",2002,179,"Peter Jackson","J.R.R. Tolkien ",88,8.7,NA,339700000,"New Line Cinema","Bruce Allpress","Sean Astin","John Bach","Sala Baker",120,138,"Drama","Old English","USA"
14,"The Lord of the Rings: The Two Towers",2002,179,"Peter Jackson","J.R.R. Tolkien ",88,8.7,NA,339700000,"New Line Cinema","Bruce Allpress","Sean Astin","John Bach","Sala Baker",120,138,"Drama","Old English","New Zealand"
14,"The Lord of the Rings: The Two Towers",2002,179,"Peter Jackson","J.R.R. Tolkien ",88,8.7,NA,339700000,"New Line Cinema","Bruce Allpress","Sean Astin","John Bach","Sala Baker",120,138,"Fantasy","English","USA"
14,"The Lord of the Rings: The Two Towers",2002,179,"Peter Jackson","J.R.R. Tolkien ",88,8.7,NA,339700000,"New Line Cinema","Bruce Allpress","Sean Astin","John Bach","Sala Baker",120,138,"Fantasy","English","New Zealand"
14,"The Lord of the Rings: The Two Towers",2002,179,"Peter Jackson","J.R.R. Tolkien ",88,8.7,NA,339700000,"New Line Cinema","Bruce Allpress","Sean Astin","John Bach","Sala Baker",120,138,"Fantasy","Sindarin","USA"
14,"The Lord of the Rings: The Two Towers",2002,179,"Peter Jackson","J.R.R. Tolkien ",88,8.7,NA,339700000,"New Line Cinema","Bruce Allpress","Sean Astin","John Bach","Sala Baker",120,138,"Fantasy","Sindarin","New Zealand"
14,"The Lord of the Rings: The Two Towers",2002,179,"Peter Jackson","J.R.R. Tolkien ",88,8.7,NA,339700000,"New Line Cinema","Bruce Allpress","Sean Astin","John Bach","Sala Baker",120,138,"Fantasy","Old English","USA"
14,"The Lord of the Rings: The Two Towers",2002,179,"Peter Jackson","J.R.R. Tolkien ",88,8.7,NA,339700000,"New Line Cinema","Bruce Allpress","Sean Astin","John Bach","Sala Baker",120,138,"Fantasy","Old English","New Zealand"
15,"One Flew Over the Cuckoo's Nest",1975,133,"Milos Forman","Lawrence Hauben ",80,8.7,NA,NA,"United Artists","Michael Berryman","Peter Brocco","Dean R. Brooks","Alonzo Brown",35,13,"Drama","English","USA"
16,"Goodfellas",1990,146,"Martin Scorsese","Nicholas Pileggi ",89,8.7,NA,NA,"Warner Bros.","Robert De Niro","Ray Liotta","Joe Pesci","Lorraine Bracco",38,35,"Crime","English","USA"
16,"Goodfellas",1990,146,"Martin Scorsese","Nicholas Pileggi ",89,8.7,NA,NA,"Warner Bros.","Robert De Niro","Ray Liotta","Joe Pesci","Lorraine Bracco",38,35,"Crime","Italian","USA"
16,"Goodfellas",1990,146,"Martin Scorsese","Nicholas Pileggi ",89,8.7,NA,NA,"Warner Bros.","Robert De Niro","Ray Liotta","Joe Pesci","Lorraine Bracco",38,35,"Drama","English","USA"
16,"Goodfellas",1990,146,"Martin Scorsese","Nicholas Pileggi ",89,8.7,NA,NA,"Warner Bros.","Robert De Niro","Ray Liotta","Joe Pesci","Lorraine Bracco",38,35,"Drama","Italian","USA"
